2023-11-01 02:31:39 install libk5crypto3:amd64 <none> 1.20.1-2+deb12u1
2023-11-01 02:31:39 status half-installed libk5crypto3:amd64 1.20.1-2+deb12u1
2023-11-01 02:31:39 status unpacked libk5crypto3:amd64 1.20.1-2+deb12u1
2023-11-01 02:31:39 install libkeyutils1:amd64 <none> 1.6.3-2
2023-11-01 02:31:39 status half-installed libkeyutils1:amd64 1.6.3-2
2023-11-01 02:31:39 status unpacked libkeyutils1:amd64 1.6.3-2
2023-11-01 02:31:39 install libkrb5-3:amd64 <none> 1.20.1-2+deb12u1
2023-11-01 02:31:39 status half-installed libkrb5-3:amd64 1.20.1-2+deb12u1
2023-11-01 02:31:39 status unpacked libkrb5-3:amd64 1.20.1-2+deb12u1
2023-11-01 02:31:39 install libgssapi-krb5-2:amd64 <none> 1.20.1-2+deb12u1
2023-11-01 02:31:39 status half-installed libgssapi-krb5-2:amd64 1.20.1-2+deb12u1
2023-11-01 02:31:39 status unpacked libgssapi-krb5-2:amd64 1.20.1-2+deb12u1
2023-11-01 02:31:39 install libtirpc-common:all <none> 1.3.3+ds-1
2023-11-01 02:31:39 status half-installed libtirpc-common:all 1.3.3+ds-1
2023-11-01 02:31:39 status unpacked libtirpc-common:all 1.3.3+ds-1
2023-11-01 02:31:39 install libtirpc3:amd64 <none> 1.3.3+ds-1
2023-11-01 02:31:39 status half-installed libtirpc3:amd64 1.3.3+ds-1
2023-11-01 02:31:39 status unpacked libtirpc3:amd64 1.3.3+ds-1
2023-11-01 02:31:39 install libnsl2:amd64 <none> 1.3.0-2
2023-11-01 02:31:39 status half-installed libnsl2:amd64 1.3.0-2
2023-11-01 02:31:39 status unpacked libnsl2:amd64 1.3.0-2
2023-11-01 02:31:39 install readline-common:all <none> 8.2-1.3
2023-11-01 02:31:39 status half-installed readline-common:all 8.2-1.3
2023-11-01 02:31:39 status unpacked readline-common:all 8.2-1.3
2023-11-01 02:31:39 install libreadline8:amd64 <none> 8.2-1.3
2023-11-01 02:31:39 status half-installed libreadline8:amd64 8.2-1.3
2023-11-01 02:31:39 status unpacked libreadline8:amd64 8.2-1.3
2023-11-01 02:31:39 install libsqlite3-0:amd64 <none> 3.40.1-2
2023-11-01 02:31:39 status half-installed libsqlite3-0:amd64 3.40.1-2
2023-11-01 02:31:39 status unpacked libsqlite3-0:amd64 3.40.1-2
2023-11-01 02:31:39 install libpython3.11-stdlib:amd64 <none> 3.11.2-6
2023-11-01 02:31:39 status half-installed libpython3.11-stdlib:amd64 3.11.2-6
2023-11-01 02:31:40 status unpacked libpython3.11-stdlib:amd64 3.11.2-6
2023-11-01 02:31:40 install python3.11:amd64 <none> 3.11.2-6
2023-11-01 02:31:40 status half-installed python3.11:amd64 3.11.2-6
2023-11-01 02:31:40 status unpacked python3.11:amd64 3.11.2-6
2023-11-01 02:31:40 install libpython3-stdlib:amd64 <none> 3.11.2-1+b1
2023-11-01 02:31:40 status half-installed libpython3-stdlib:amd64 3.11.2-1+b1
2023-11-01 02:31:40 status unpacked libpython3-stdlib:amd64 3.11.2-1+b1
2023-11-01 02:31:40 startup packages configure
2023-11-01 02:31:40 configure python3-minimal:amd64 3.11.2-1+b1 <none>
2023-11-01 02:31:40 status unpacked python3-minimal:amd64 3.11.2-1+b1
2023-11-01 02:31:40 status half-configured python3-minimal:amd64 3.11.2-1+b1
2023-11-01 02:31:40 status installed python3-minimal:amd64 3.11.2-1+b1
2023-11-01 02:31:40 startup archives unpack
2023-11-01 02:31:40 install python3:amd64 <none> 3.11.2-1+b1
2023-11-01 02:31:40 status half-installed python3:amd64 3.11.2-1+b1
2023-11-01 02:31:40 status unpacked python3:amd64 3.11.2-1+b1
2023-11-01 02:31:40 install bzip2:amd64 <none> 1.0.8-5+b1
2023-11-01 02:31:40 status half-installed bzip2:amd64 1.0.8-5+b1
2023-11-01 02:31:40 status unpacked bzip2:amd64 1.0.8-5+b1
2023-11-01 02:31:40 install libpsl5:amd64 <none> 0.21.2-1
2023-11-01 02:31:40 status half-installed libpsl5:amd64 0.21.2-1
2023-11-01 02:31:40 status unpacked libpsl5:amd64 0.21.2-1
2023-11-01 02:31:40 install wget:amd64 <none> 1.21.3-1+b2
2023-11-01 02:31:40 status half-installed wget:amd64 1.21.3-1+b2
2023-11-01 02:31:40 status unpacked wget:amd64 1.21.3-1+b2
2023-11-01 02:31:40 install xz-utils:amd64 <none> 5.4.1-0.2
2023-11-01 02:31:40 status half-installed xz-utils:amd64 5.4.1-0.2
2023-11-01 02:31:40 status unpacked xz-utils:amd64 5.4.1-0.2
2023-11-01 02:31:40 install binutils-common:amd64 <none> 2.40-2
2023-11-01 02:31:40 status half-installed binutils-common:amd64 2.40-2
2023-11-01 02:31:40 status unpacked binutils-common:amd64 2.40-2
2023-11-01 02:31:40 install libbinutils:amd64 <none> 2.40-2
2023-11-01 02:31:40 status half-installed libbinutils:amd64 2.40-2
2023-11-01 02:31:40 status unpacked libbinutils:amd64 2.40-2
2023-11-01 02:31:41 install libctf-nobfd0:amd64 <none> 2.40-2
2023-11-01 02:31:41 status half-installed libctf-nobfd0:amd64 2.40-2
2023-11-01 02:31:41 status unpacked libctf-nobfd0:amd64 2.40-2
2023-11-01 02:31:41 install libctf0:amd64 <none> 2.40-2
2023-11-01 02:31:41 status half-installed libctf0:amd64 2.40-2
2023-11-01 02:31:41 status unpacked libctf0:amd64 2.40-2
2023-11-01 02:31:41 install libgprofng0:amd64 <none> 2.40-2
2023-11-01 02:31:41 status half-installed libgprofng0:amd64 2.40-2
2023-11-01 02:31:41 status unpacked libgprofng0:amd64 2.40-2
2023-11-01 02:31:41 install libjansson4:amd64 <none> 2.14-2
2023-11-01 02:31:41 status half-installed libjansson4:amd64 2.14-2
2023-11-01 02:31:41 status unpacked libjansson4:amd64 2.14-2
2023-11-01 02:31:41 install binutils-x86-64-linux-gnu:amd64 <none> 2.40-2
2023-11-01 02:31:41 status half-installed binutils-x86-64-linux-gnu:amd64 2.40-2
2023-11-01 02:31:41 status unpacked binutils-x86-64-linux-gnu:amd64 2.40-2
2023-11-01 02:31:41 install binutils:amd64 <none> 2.40-2
2023-11-01 02:31:41 status half-installed binutils:amd64 2.40-2
2023-11-01 02:31:41 status unpacked binutils:amd64 2.40-2
2023-11-01 02:31:41 install libisl23:amd64 <none> 0.25-1
2023-11-01 02:31:41 status half-installed libisl23:amd64 0.25-1
2023-11-01 02:31:41 status unpacked libisl23:amd64 0.25-1
2023-11-01 02:31:41 install libmpfr6:amd64 <none> 4.2.0-1
2023-11-01 02:31:41 status half-installed libmpfr6:amd64 4.2.0-1
2023-11-01 02:31:41 status unpacked libmpfr6:amd64 4.2.0-1
2023-11-01 02:31:41 install libmpc3:amd64 <none> 1.3.1-1
2023-11-01 02:31:41 status half-installed libmpc3:amd64 1.3.1-1
2023-11-01 02:31:41 status unpacked libmpc3:amd64 1.3.1-1
2023-11-01 02:31:41 install cpp-12:amd64 <none> 12.2.0-14
2023-11-01 02:31:41 status half-installed cpp-12:amd64 12.2.0-14
2023-11-01 02:31:42 status unpacked cpp-12:amd64 12.2.0-14
2023-11-01 02:31:42 install cpp:amd64 <none> 4:12.2.0-3
2023-11-01 02:31:42 status half-installed cpp:amd64 4:12.2.0-3
2023-11-01 02:31:42 status unpacked cpp:amd64 4:12.2.0-3
2023-11-01 02:31:42 install libassuan0:amd64 <none> 2.5.5-5
2023-11-01 02:31:42 status half-installed libassuan0:amd64 2.5.5-5
2023-11-01 02:31:42 status unpacked libassuan0:amd64 2.5.5-5
2023-11-01 02:31:42 install gpgconf:amd64 <none> 2.2.40-1.1
2023-11-01 02:31:42 status half-installed gpgconf:amd64 2.2.40-1.1
2023-11-01 02:31:42 status unpacked gpgconf:amd64 2.2.40-1.1
2023-11-01 02:31:42 install libksba8:amd64 <none> 1.6.3-2
2023-11-01 02:31:42 status half-installed libksba8:amd64 1.6.3-2
2023-11-01 02:31:42 status unpacked libksba8:amd64 1.6.3-2
2023-11-01 02:31:42 install libnpth0:amd64 <none> 1.6-3
2023-11-01 02:31:42 status half-installed libnpth0:amd64 1.6-3
2023-11-01 02:31:42 status unpacked libnpth0:amd64 1.6-3
2023-11-01 02:31:42 install dirmngr:amd64 <none> 2.2.40-1.1
2023-11-01 02:31:42 status half-installed dirmngr:amd64 2.2.40-1.1
2023-11-01 02:31:42 status unpacked dirmngr:amd64 2.2.40-1.1
2023-11-01 02:31:42 install libdpkg-perl:all <none> 1.21.22
2023-11-01 02:31:42 status half-installed libdpkg-perl:all 1.21.22
2023-11-01 02:31:42 status unpacked libdpkg-perl:all 1.21.22
2023-11-01 02:31:42 install patch:amd64 <none> 2.7.6-7
2023-11-01 02:31:42 status half-installed patch:amd64 2.7.6-7
2023-11-01 02:31:42 status unpacked patch:amd64 2.7.6-7
2023-11-01 02:31:42 install make:amd64 <none> 4.3-4.1
2023-11-01 02:31:42 status half-installed make:amd64 4.3-4.1
2023-11-01 02:31:42 status unpacked make:amd64 4.3-4.1
2023-11-01 02:31:42 install dpkg-dev:all <none> 1.21.22
2023-11-01 02:31:42 status half-installed dpkg-dev:all 1.21.22
2023-11-01 02:31:42 status unpacked dpkg-dev:all 1.21.22
2023-11-01 02:31:42 install libcc1-0:amd64 <none> 12.2.0-14
2023-11-01 02:31:42 status half-installed libcc1-0:amd64 12.2.0-14
2023-11-01 02:31:42 status unpacked libcc1-0:amd64 12.2.0-14
2023-11-01 02:31:42 install libgomp1:amd64 <none> 12.2.0-14
2023-11-01 02:31:43 status half-installed libgomp1:amd64 12.2.0-14
2023-11-01 02:31:43 status unpacked libgomp1:amd64 12.2.0-14
2023-11-01 02:31:43 install libitm1:amd64 <none> 12.2.0-14
2023-11-01 02:31:43 status half-installed libitm1:amd64 12.2.0-14
2023-11-01 02:31:43 status unpacked libitm1:amd64 12.2.0-14
2023-11-01 02:31:43 install libatomic1:amd64 <none> 12.2.0-14
2023-11-01 02:31:43 status half-installed libatomic1:amd64 12.2.0-14
2023-11-01 02:31:43 status unpacked libatomic1:amd64 12.2.0-14
2023-11-01 02:31:43 install libasan8:amd64 <none> 12.2.0-14
